maimai DX 歌曲别名收集计划（@AkihaBot 版）,,,,,,,,,,,,,,,,,,,,,,,,,
"编辑指南请移步左下角「表格编辑指南」，
务必阅读完毕之后再申请编辑！",,,,,,,,,,,,,,,,,,,,,,,,,
11198,アスノヨゾラ哨戒班,明日的夜空哨戒班,哨戒班,烧鸡班,,,,,,,,,,,,,,,,,,,,,
11199,悪戯センセーション,恶戏,,,,,,,,,,,,,,,,,,,,,,,
11200,Paranoia,偏执狂,,,,,,,,,,,,,,,,,,,,,,,
11201,絡繰りドール,络缲,Karakuri Doll,,,,,,,,,,,,,,,,,,,,,,
11202,物凄いヴァイブスで魔理沙が物凄いラップ,物凄,,,,,,,,,,,,,,,,,,,,,,,
11204,Sweet Requiem,甜蜜安魂曲,,,,,,,,,,,,,,,,,,,,,,,
11205,Dive into The Sky ～initialized～,,,,,,,,,,,,,,,,,,,,,,,,
11206,BATTLE NO.1,打架第一名,战地一,第一战,缝合怪,掰头南波万,拳皇,小 心 兔 头,掰头囊波万,一战,白头南波湾,掰头南波湾,,,,,,,,,,,,,
11207,Ether Strike,es,以太打击,白内障,,,,,,,,,,,,,,,,,,,,,
11208,Cyaegha,绿魔王,,,,,,,,,,,,,,,,,,,,,,,
11209,Grievous Lady,病女,对立拉窗帘,,,,,,,,,,,,,,,,,,,,,,
11210,c.s.q.n.,csqn,,,,,,,,,,,,,,,,,,,,,,,
11211,カラッポ・ノンフィクション,,,,,,,,,,,,,,,,,,,,,,,,
11212,emomomo,emoji,emo,,,,,,,,,,,,,,,,,,,,,,
11213,Arty Party,,,,,,,,,,,,,,,,,,,,,,,,
11214,Jörqer,jorqer,,,,,,,,,,,,,,,,,,,,,,,
11215,"Sqlupp (Camellia's ""Sqleipd*Hiytex"" Remix)",,,,,,,,,,,,,,,,,,,,,,,,
11216,felys -final remix-,,,,,,,,,,,,,,,,,,,,,,,,
11217,Pretender,,,,,,,,,,,,,,,,,,,,,,,,
11218,自傷無色,自伤无色,,,,,,,,,,,,,,,,,,,,,,,
11219,Prismatic,,,,,,,,,,,,,,,,,,,,,,,,
11221,"≠彡""/了→",キミツアー,乱码熊,kop2020,蓝熊,,,,,,,,,,,,,,,,,,,,
11222,BREaK! BREaK! BREaK!,BBB,绝赞三连,,,,,,,,,,,,,,,,,,,,,,
11223,Heavenly Blast,皇冠2,,,,,,,,,,,,,,,,,,,,,,,
11224,Paradisoda,魂音泉,修哇修哇,,,,,,,,,,,,,,,,,,,,,,
11225,VANTABLACK RAVER,黑乙姬,,,,,,,,,,,,,,,,,,,,,,,
11226,時計の国のジェミニ,时计,时计之国,时钟之国,时钟之国的双子座,时钟,,,,,,,,,,,,,,,,,,,
11227,Xenovcipher,泽拉斯,,,,,,,,,,,,,,,,,,,,,,,
11228,星めぐり、果ての君へ。,,,,,,,,,,,,,,,,,,,,,,,,
11229,スローアライズ,slow arise,,,,,,,,,,,,,,,,,,,,,,,
11230,チエルカ／エソテリカ,,,,,,,,,,,,,,,,,,,,,,,,
11231,生命不詳,生命不详,,,,,,,,,,,,,,,,,,,,,,,
11232,Never Give Up!,,,,,,,,,,,,,,,,,,,,,,,,
11233,Starry Colors,,,,,,,,,,,,,,,,,,,,,,,,
11234,ほしぞらスペクタクル,星空,,,,,,,,,,,,,,,,,,,,,,,
11235,VIIIbit Explorer,8bit,,,,,,,,,,,,,,,,,,,,,,,
11236,Last Samurai,六月的雨,,,,,,,,,,,,,,,,,,,,,,,
11237,蒼穹舞楽,苍穹舞乐,,,,,,,,,,,,,,,,,,,,,,,
11238,AMABIE,,,,,,,,,,,,,,,,,,,,,,,,
11239,オーケー？　オーライ！,,,,,,,,,,,,,,,,,,,,,,,,
11240,サヨナラフリーウェイ,,,,,,,,,,,,,,,,,,,,,,,,
11241,単一指向性オーバーブルーム,单一指向性,,,,,,,,,,,,,,,,,,,,,,,
11242,みなえをチェック！,注目,,,,,,,,,,,,,,,,,,,,,,,
11243,ハジマリノピアノ,,,,,,,,,,,,,,,,,,,,,,,,
11246,BOUNCE & DANCE,,,,,,,,,,,,,,,,,,,,,,,,
11247,Kiss Me Kiss,,,,,,,,,,,,,,,,,,,,,,,,
11248,MEGATON BLAST,,,,,,,,,,,,,,,,,,,,,,,,
11249,Splash Dance!!,,,,,,,,,,,,,,,,,,,,,,,,
11250,インフェルノ,inferno,地狱,炎炎消防队,,,,,,,,,,,,,,,,,,,,,
11251,冬のこもりうた,,,,,,,,,,,,,,,,,,,,,,,,
11252,God knows...,团长,凉宫春日,平野绫,,,,,,,,,,,,,,,,,,,,,
11253,おジャ魔女カーニバル!!,光吉,光吉小魔女,小魔女嘉年华,,,,,,,,,,,,,,,,,,,,,
11254,秒針を噛む,咬合秒针,zutomayo,咬住秒针,,,,,,,,,,,,,,,,,,,,,
11255,タケモトピアノCMソング,,,,,,,,,,,,,,,,,,,,,,,,
11256,乙女のルートはひとつじゃない！,,,,,,,,,,,,,,,,,,,,,,,,
11257,ビックカメラのテーマソング,,,,,,,,,,,,,,,,,,,,,,,,
11258,電話革命ナイセン,电话革命,,,,,,,,,,,,,,,,,,,,,,,
11259,Shiny Smily Story,hololive,sss,,,,,,,,,,,,,,,,,,,,,,
11260,ネガティブ進化論,消极进化论,进化论,,,,,,,,,,,,,,,,,,,,,,
11261,雨とペトラ,雨与佩特拉,,,,,,,,,,,,,,,,,,,,,,,
11262,永遠にゲームで対戦したいキリタン,永远,,,,,,,,,,,,,,,,,,,,,,,
11263,KING,,,,,,,,,,,,,,,,,,,,,,,,
11264,幽霊東京,幽灵东京,,,,,,,,,,,,,,,,,,,,,,,
11265,Alice in 冷凍庫,Alice in 冷冻库,,,,,,,,,,,,,,,,,,,,,,,
11266,キラメキ居残り大戦争,,,,,,,,,,,,,,,,,,,,,,,,
11267,ディカディズム,,,,,,,,,,,,,,,,,,,,,,,,
11268,猫猫的宇宙論,猫猫的宇宙论,,,,,,,,,,,,,,,,,,,,,,,
11269,ラットが死んだnew words,,,,,,,,,,,,,,,,,,,,,,,,
11270,阿吽のビーツ,契合的节奏,阿吽的节奏,阿哞,,,,,,,,,,,,,,,,,,,,,
11271,再会,,,,,,,,,,,,,,,,,,,,,,,,
11272,約束,约束,约定,,,,,,,,,,,,,,,,,,,,,,
11273,トラフィック・ジャム,,,,,,,,,,,,,,,,,,,,,,,,
11274,アルティメットセンパイ,,,,,,,,,,,,,,,,,,,,,,,,
11275,ロストワードクロニカル,,,,,,,,,,,,,,,,,,,,,,,,
11276,今、誰が為のかがり火へ,,,,,,,,,,,,,,,,,,,,,,,,
11277,Melody！,,,,,,,,,,,,,,,,,,,,,,,,
11278,下克上々,下克上,,,,,,,,,,,,,,,,,,,,,,,
11279,ハウリング,,,,,,,,,,,,,,,,,,,,,,,,
11280,トランスダンスアナーキー,,,,,,,,,,,,,,,,,,,,,,,,
11281,Re：End of a Dream,re end,,,,,,,,,,,,,,,,,,,,,,,
11282,もぺもぺ,mopemope,儿童邪典,小花,,,,,,,,,,,,,,,,,,,,,
11283,Sound Chimera,奇美拉,,,,,,,,,,,,,,,,,,,,,,,
11284,CO5M1C R4ILR0AD,cosmic railroad,,,,,,,,,,,,,,,,,,,,,,,
11285,MAKE IT FUNKY NOW,,,,,,,,,,,,,,,,,,,,,,,,
11286,Rush-More,rush more,rushmore,,,,,,,,,,,,,,,,,,,,,,
11287,Strange Bar,,,,,,,,,,,,,,,,,,,,,,,,
11288,Big Daddy,大爹,,,,,,,,,,,,,,,,,,,,,,,
11289,ベースラインやってる？笑,bassline,,,,,,,,,,,,,,,,,,,,,,,
11290,ALiVE,,,,,,,,,,,,,,,,,,,,,,,,
11291,ヒミツCULT,,,,,,,,,,,,,,,,,,,,,,,,
11292,MEGATON KICK,,,,,,,,,,,,,,,,,,,,,,,,
11293,LOSE CONTROL,失控,,,,,,,,,,,,,,,,,,,,,,,
11294,宿星審判,宿星审判,,,,,,,,,,,,,,,,,,,,,,,
11295,脳天直撃,脑天直击,脑瘫直击,脑天,,,,,,,,,,,,,,,,,,,,,
11296,とびだせ！TO THE COSMIC!!,,,,,,,,,,,,,,,,,,,,,,,,
11297,噛み係,,,,,,,,,,,,,,,,,,,,,,,,
11298,トリアージ,,,,,,,,,,,,,,,,,,,,,,,,
11299,NAGAREBOSHI☆ROCKET,,,,,,,,,,,,,,,,,,,,,,,,
11300,U&iVERSE -銀河鸞翔-,银河鸾翔,,,,,,,,,,,,,,,,,,,,,,,
11301,華の集落、秋のお届け,,,,,,,,,,,,,,,,,,,,,,,,
11302,BLACK SWAN,黑天鹅,,,,,,,,,,,,,,,,,,,,,,,
11303,星詠みとデスペラード,星咏,,,,,,,,,,,,,,,,,,,,,,,
11304,Round Round Spinning Around,,,,,,,,,,,,,,,,,,,,,,,,
11305,Alcyone,,,,,,,,,,,,,,,,,,,,,,,,
11306,Raven Emperor,,,,,,,,,,,,,,,,,,,,,,,,
11307,Yorugao,,,,,,,,,,,,,,,,,,,,,,,,
11308,ヨミビトシラズ,,,,,,,,,,,,,,,,,,,,,,,,
11309,前衛的Landscape,前卫的landscape,,,,,,,,,,,,,,,,,,,,,,,
11310,Trick tear,,,,,,,,,,,,,,,,,,,,,,,,
11311,躯樹の墓守,躯树墓守,,,,,,,,,,,,,,,,,,,,,,,
11312,ぱくぱく☆がーる,江江,我饿了,おなかすいた,,,,,,,,,,,,,,,,,,,,,
11313,No Limit RED Force,,,,,,,,,,,,,,,,,,,,,,,,
11314,LiftOff,,,,,,,,,,,,,,,,,,,,,,,,
11315,Falsum Atlantis.,,,,,,,,,,,,,,,,,,,,,,,,
11316,We Are Us,,,,,,,,,,,,,,,,,,,,,,,,
11317,Limits,,,,,,,,,,,,,,,,,,,,,,,,
11318,スピカの天秤,天秤,,,,,,,,,,,,,,,,,,,,,,,
11319,ハードコア・シンドローム,hardcore,,,,,,,,,,,,,,,,,,,,,,,
11321,夜に駆ける,向夜晚奔去,yoasobi,,,,,,,,,,,,,,,,,,,,,,
11322,うっせぇわ,烦死了,,,,,,,,,,,,,,,,,,,,,,,
11323,Shooting Stars,,,,,,,,,,,,,,,,,,,,,,,,
11324,MOON NIGHTのせいにして,,,,,,,,,,,,,,,,,,,,,,,,
11325,テレキャスタービーボーイ,,,,,,,,,,,,,,,,,,,,,,,,
11327,僕は空気が嫁ない,我不会察言观色,空气,,,,,,,,,,,,,,,,,,,,,,
11328,デッドマンズバラッド,,,,,,,,,,,,,,,,,,,,,,,,
11329,イヤホンロマンス,,,,,,,,,,,,,,,,,,,,,,,,
11330,竹,小心立秋,,,,,,,,,,,,,,,,,,,,,,,
11331,スーパーシンメトリー,super symmetry,,,,,,,,,,,,,,,,,,,,,,,
11333,Southern Cross,南十字,,,,,,,,,,,,,,,,,,,,,,,
11334,Upshift,上升,,,,,,,,,,,,,,,,,,,,,,,
11335,MOBILYS,,,,,,,,,,,,,,,,,,,,,,,,
11336,ドラゴンエネルギー,,,,,,,,,,,,,,,,,,,,,,,,
11337,セカイはまだ始まってすらいない,“世界”还没开始,世界还没开始,,,,,,,,,,,,,,,,,,,,,,
11340,Sweets Time,,,,,,,,,,,,,,,,,,,,,,,,
11341,紅星ミゼラブル～廃憶編,,,,,,,,,,,,,,,,,,,,,,,,
11342,幻想に咲いた花,,,,,,,,,,,,,,,,,,,,,,,,
11343,マツヨイナイトバグ,,,,,,,,,,,,,,,,,,,,,,,,
11344,ポッピンキャンディ☆フィーバー！,,,,,,,,,,,,,,,,,,,,,,,,
11345,どぅーまいべすと！,,,,,,,,,,,,,,,,,,,,,,,,
11346,春を告げる,,,,,,,,,,,,,,,,,,,,,,,,
11347,泥の分際で私だけの大切を奪おうだなんて,,,,,,,,,,,,,,,,,,,,,,,,
11348,VOLTAGE,,,,,,,,,,,,,,,,,,,,,,,,
11349,失敗作少女,失败作少女,,,,,,,,,,,,,,,,,,,,,,,
11350,悪魔の踊り方,,,,,,,,,,,,,,,,,,,,,,,,
11351,ノイローゼ,,,,,,,,,,,,,,,,,,,,,,,,
11352,Seize The Day,,,,,,,,,,,,,,,,,,,,,,,,
11353,グッバイ宣言,再见宣言,goodbye宣言,,,,,,,,,,,,,,,,,,,,,,
11354,春嵐,,,,,,,,,,,,,,,,,,,,,,,,
11355,ラグトレイン,,,,,,,,,,,,,,,,,,,,,,,,
11356,なだめスかし Negotiation（TVsize）,,,,,,,,,,,,,,,,,,,,,,,,
11358,インドア系ならトラックメイカー,室内系的trackmaker,室内系,yunomi,,,,,,,,,,,,,,,,,,,,,
11359,アカツキアライヴァル,拂晓抵达,,,,,,,,,,,,,,,,,,,,,,,
11360,リモコン,遥控器,remote,,,,,,,,,,,,,,,,,,,,,,
11361,on the rocks,,,,,,,,,,,,,,,,,,,,,,,,
11362,響け！CHIREI MY WAY!,,,,,,,,,,,,,,,,,,,,,,,,
11363,神々が恋した幻想郷,,,,,,,,,,,,,,,,,,,,,,,,
11364,Lia=Fail,圣剑3,生煎3,,,,,,,,,,,,,,,,,,,,,,
11365,アンビバレンス,矛盾心理,ambivalence,,,,,,,,,,,,,,,,,,,,,,
11367,veil,,,,,,,,,,,,,,,,,,,,,,,,
11369,廻廻奇譚,回回奇谭,,,,,,,,,,,,,,,,,,,,,,,
11370,さんさーら！,,,,,,,,,,,,,,,,,,,,,,,,
11371,アイドル新鋭隊,,,,,,,,,,,,,,,,,,,,,,,,
11372,needLe,,,,,,,,,,,,,,,,,,,,,,,,
11373,ヒステリックナイトガール,,,,,,,,,,,,,,,,,,,,,,,,
11374,GIGANTØMAKHIA,gigatomakhia,老头环,,,,,,,,,,,,,,,,,,,,,,
11375,ミルキースター・シューティングスター,,,,,,,,,,,,,,,,,,,,,,,,
11376,ｉｓｏｐｈｏｔｅ,isophote,,,,,,,,,,,,,,,,,,,,,,,
11377,パラマウント☆ショータイム！！,,,,,,,,,,,,,,,,,,,,,,,,
11378,Strive against fate,,,,,,,,,,,,,,,,,,,,,,,,
11379,sølips,solips,,,,,,,,,,,,,,,,,,,,,,,
11380,パーフェクション,,,,,,,,,,,,,,,,,,,,,,,,
11381,デーモンベット,,,,,,,,,,,,,,,,,,,,,,,,
11382,HECATONCHEIR,,,,,,,,,,,,,,,,,,,,,,,,
11383,Irresistible,,,,,,,,,,,,,,,,,,,,,,,,
11384,HAGAKIRI,,,,,,,,,,,,,,,,,,,,,,,,
11385,N3V3R G3T OV3R,never get over,,,,,,,,,,,,,,,,,,,,,,,
11386,Swift Swing,,,,,,,,,,,,,,,,,,,,,,,,
11387,星空パーティーチューン,,,,,,,,,,,,,,,,,,,,,,,,
11388,チューリングの跡,,,,,,,,,,,,,,,,,,,,,,,,
11389,Sage,,,,,,,,,,,,,,,,,,,,,,,,
11390,OTOGEMA,,,,,,,,,,,,,,,,,,,,,,,,
11391,WiPE OUT MEMORIES,,,,,,,,,,,,,,,,,,,,,,,,
11392,Metamorphosism,,,,,,,,,,,,,,,,,,,,,,,,
11393,白花の天使,,,,,,,,,,,,,,,,,,,,,,,,
11394,World's end loneliness,,,,,,,,,,,,,,,,,,,,,,,,
11395,Jouez Avec Moi?,,,,,,,,,,,,,,,,,,,,,,,,
11396,テリトリーバトル,,,,,,,,,,,,,,,,,,,,,,,,
11398,"Good bye, Merry-Go-Round.",旋转木马,,,,,,,,,,,,,,,,,,,,,,,
11399,ツクヨミステップ,,,,,,,,,,,,,,,,,,,,,,,,
11400,folern,,,,,,,,,,,,,,,,,,,,,,,,
11401,コスモポップファンクラブ,,,,,,,,,,,,,,,,,,,,,,,,
11402,撩乱乙女†無双劇,,,,,,,,,,,,,,,,,,,,,,,,
11404,See The Light,,,,,,,,,,,,,,,,,,,,,,,,
11405,エータ・ベータ・イータ,,,,,,,,,,,,,,,,,,,,,,,,
11406,愛のシュプリーム！,爱的supreme,爱的至高无上,龙女仆2,,,,,,,,,,,,,,,,,,,,,
11407,くらべられっ子,,,,,,,,,,,,,,,,,,,,,,,,
11408,あの世行きのバスに乗ってさらば。,坐上前往彼世的巴士永别了,巴士,世行,,,,,,,,,,,,,,,,,,,,,
11409,うまぴょい伝説,赛马娘,赛马娘传说,马娘,,,,,,,,,,,,,,,,,,,,,
11410,ヴァンパイア,vampire,吸血鬼,,,,,,,,,,,,,,,,,,,,,,
11411,エンヴィーベイビー,envybaby,envy baby,,,,,,,,,,,,,,,,,,,,,,
11412,初音天地開闢神話,初音天地开辟神话,,,,,,,,,,,,,,,,,,,,,,,
11413,Armageddon,,,,,,,,,,,,,,,,,,,,,,,,
11415,Dreadnought,,,,,,,,,,,,,,,,,,,,,,,,
11418,enchanted love,青蛙王子,青蛙歌,,,,,,,,,,,,,,,,,,,,,,
11419,Caterpillar Song,,,,,,,,,,,,,,,,,,,,,,,,
11420,Photon Melodies,,,,,,,,,,,,,,,,,,,,,,,,
11421,吾輩よ猫であれ,,,,,,,,,,,,,,,,,,,,,,,,
11422, ,无名歌,,,,,,,,,,,,,,,,,,,,,,,
11423,BLUE ZONE,,,,,,,,,,,,,,,,,,,,,,,,
11424,Estahv,白戒,,,,,,,,,,,,,,,,,,,,,,,
11425,First Dance,,,,,,,,,,,,,,,,,,,,,,,,
11426,Mjölnir,,,,,,,,,,,,,,,,,,,,,,,,
11427,Define,定义,,,,,,,,,,,,,,,,,,,,,,,
11428,BANG!,,,,,,,,,,,,,,,,,,,,,,,,
11429,Love's Theme of BADASS ～バッド・アス 愛のテーマ～,,,,,,,,,,,,,,,,,,,,,,,,
11430,オントロジー,,,,,,,,,,,,,,,,,,,,,,,,
11431,剣を抜け！GCCX MAX,,,,,,,,,,,,,,,,,,,,,,,,
11432,Princess♂,,,,,,,,,,,,,,,,,,,,,,,,
11433,ヒトガタ,,,,,,,,,,,,,,,,,,,,,,,,
11434,Spring of Dreams,,,,,,,,,,,,,,,,,,,,,,,,
11435,"大輪の魂 (feat. AO, 司芭扶)",,,,,,,,,,,,,,,,,,,,,,,,
11436,紅に染まる恋の花,,,,,,,,,,,,,,,,,,,,,,,,
11437,三妖精SAY YA!!!,,,,,,,,,,,,,,,,,,,,,,,,
11438,Reach For The Stars (Re-Colors),,,,,,,,,,,,,,,,,,,,,,,,
11439,ジャンキーナイトタウンオーケストラ,,,,,,,,,,,,,,,,,,,,,,,,
11441,終焉逃避行,,,,,,,,,,,,,,,,,,,,,,,,
11443,8-EM,,,,,,,,,,,,,,,,,,,,,,,,
11444,若い力,社歌,若力,,,,,,,,,,,,,,,,,,,,,,
11445,遺伝子レベル∞スパイラル,,,,,,,,,,,,,,,,,,,,,,,,
11446,otorii INNOVATED -[i]3-,电熊,雷熊,大鸟居,,,,,,,,,,,,,,,,,,,,,
11447,エゴロック,,,,,,,,,,,,,,,,,,,,,,,,
11448,ただ選択があった,,,,,,,,,,,,,,,,,,,,,,,,
11449,パズルリボン,,,,,,,,,,,,,,,,,,,,,,,,
11450,YONA YONA DANCE,,,,,,,,,,,,,,,,,,,,,,,,
11451,Transcend Lights,,,,,,,,,,,,,,,,,,,,,,,,
